"site number","site location","Cluster","site acronym","date","sample type","MIB (ng/L) ASU","Geosmin  (ng/L) ASU","Beta-cyclocitral (ng/L)","IPMP Recovery (%)","MIB (ng/L) Phoenix","Geosmin  (ng/L) Phoenix","comments"
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2010-05-03",NA,0,0,0,NA,NA,NA,NA
"R9A-Dup","Saguaro Lake near inlet","salt","saguaro-epi dup","2010-05-03",NA,0,0,0,NA,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2010-05-03",NA,0,0,0,NA,NA,NA,NA
"R9C","Saguaro Lake near dock","salt","saguaro-hypo","2010-05-03",NA,0,0,0,NA,NA,NA,NA
"Roosvelt","SRP above Roosevelt Lake",NA,"Above Roosevelt","2010-05-03",NA,NA,NA,NA,NA,NA,NA,NA
"Scotts","AZ Canal at Scottsdale Rd.","srp","az canal @ scotts.","2010-05-03",NA,NA,NA,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","2010-05-03",NA,0,0,0,NA,NA,NA,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","2010-05-03",NA,0,0,0,NA,NA,NA,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out","2010-05-03",NA,0,0,7.8,NA,NA,NA,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet","2010-05-03",NA,0,0,0,NA,NA,NA,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","2010-05-03",NA,0,0,0,NA,NA,NA,NA
"VV west","Val Vista west","srp","val-vista west","2010-05-03",NA,0,0,0,NA,NA,NA,NA
"Glen In","Glendale WTP Inlet","srp","Glen In","2010-06-01",NA,0,2.5,6.2,NA,NA,NA,NA
"Glen Out","Glendale WTP Outlet","srp","Glen Out","2010-06-01",NA,0,0,0,NA,NA,NA,NA
"GR In","Greenway WTP Inlet","srp","Green In","2010-06-01",NA,0,0,0,NA,NA,NA,NA
"GR Out","Greenway WTP Outlet","srp","Green Out","2010-06-01",NA,0,0,2.7,NA,NA,NA,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1","2010-06-01",NA,NA,NA,NA,NA,NA,NA,NA
"Havasu 2","Havasu lake Sample",NA,"Havasu 2","2010-06-01",NA,NA,NA,NA,NA,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal","2010-06-01",NA,NA,NA,NA,NA,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","2010-06-01",NA,NA,NA,NA,NA,NA,NA,NA
"Mesa","AZ Canal at Mesa Dr.","srp","az canal @ Mesa","2010-06-01",NA,NA,NA,NA,NA,NA,NA,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","2010-06-01",NA,0,2.6,7.2,NA,NA,NA,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","2010-06-01",NA,2.1,2.8,6.8,NA,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","2010-06-01",NA,NA,NA,NA,NA,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","2010-06-01",NA,NA,NA,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2010-06-01",NA,2,0,6.3,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2010-06-01",NA,NA,NA,NA,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2010-06-01",NA,NA,NA,NA,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2010-06-01",NA,NA,NA,NA,NA,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","2010-06-01",NA,0,2.4,8.8,NA,NA,NA,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","2010-06-01",NA,0,0,0,NA,NA,NA,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","2010-06-01",NA,2,2.4,6.1,NA,NA,NA,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","2010-06-01",NA,2.2,2.4,6.6,NA,NA,NA,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","2010-06-01",NA,0,2.3,4.5,NA,NA,NA,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","2010-06-01",NA,0,0,0,NA,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2010-06-01",NA,NA,NA,NA,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","2010-06-01",NA,NA,NA,NA,NA,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","2010-06-01",NA,0,2.4,8,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline","2010-06-01",NA,NA,NA,NA,NA,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2010-06-01",NA,NA,NA,NA,NA,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2010-06-01",NA,NA,NA,NA,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2010-06-01",NA,0,0,0,NA,NA,NA,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","2010-06-01",NA,NA,NA,NA,NA,NA,NA,NA
"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st dup","2010-06-01",NA,NA,NA,NA,NA,NA,NA,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","2010-06-01",NA,NA,NA,NA,NA,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2010-06-01",NA,13,11.3,0,NA,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2010-06-01",NA,0,0,0,NA,NA,NA,NA
"R6C","Bartlett Reservoir near dock","verde","bartlett-hypo","2010-06-01",NA,10.4,12.7,0,NA,NA,NA,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","2010-06-01",NA,NA,NA,NA,NA,NA,NA,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","2010-06-01",NA,NA,NA,NA,NA,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2010-06-01",NA,25.5,4.9,0,NA,NA,NA,NA
"R9A-Dup","Saguaro Lake near inlet","salt","saguaro-epi dup","2010-06-01",NA,26.6,5.4,0,NA,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2010-06-01",NA,2.2,0,0,NA,NA,NA,NA
"R9C","Saguaro Lake near dock","salt","saguaro-hypo","2010-06-01",NA,24,5.8,0,NA,NA,NA,NA
"Roosvelt","SRP above Roosevelt Lake",NA,"Above Roosevelt","2010-06-01",NA,NA,NA,NA,NA,NA,NA,NA
"Scotts","AZ Canal at Scottsdale Rd.","srp","az canal @ scotts.","2010-06-01",NA,NA,NA,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","2010-06-01",NA,NA,NA,NA,NA,NA,NA,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","2010-06-01",NA,0,2.1,14.8,NA,NA,NA,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out","2010-06-01",NA,0,0,4.1,NA,NA,NA,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet","2010-06-01",NA,0,2,0,NA,NA,NA,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","2010-06-01",NA,0,0,0,NA,NA,NA,NA
"VV west","Val Vista west","srp","val-vista west","2010-06-01",NA,0,0,0,NA,NA,NA,NA
"Glen In","Glendale WTP Inlet","srp","Glen In","2010-06-14",NA,NA,NA,NA,NA,NA,NA,NA
"Glen Out","Glendale WTP Outlet","srp","Glen Out","2010-06-14",NA,NA,NA,NA,NA,NA,NA,NA
"GR In","Greenway WTP Inlet","srp","Green In","2010-06-14",NA,NA,NA,NA,NA,NA,NA,NA
"GR Out","Greenway WTP Outlet","srp","Green Out","2010-06-14",NA,NA,NA,NA,NA,NA,NA,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1","2010-06-14",NA,NA,NA,NA,NA,NA,NA,NA
"Havasu 2","Havasu lake Sample",NA,"Havasu 2","2010-06-14",NA,NA,NA,NA,NA,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal","2010-06-14",NA,NA,NA,NA,NA,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","2010-06-14",NA,NA,NA,NA,NA,NA,NA,NA
"Mesa","AZ Canal at Mesa Dr.","srp","az canal @ Mesa","2010-06-14",NA,NA,NA,NA,NA,NA,NA,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","2010-06-14",NA,0,0,2.9,NA,NA,NA,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","2010-06-14",NA,0,2.1,0,NA,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","2010-06-14",NA,NA,NA,NA,NA,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","2010-06-14",NA,NA,NA,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2010-06-14",NA,2,0,6.3,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2010-06-14",NA,NA,NA,NA,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2010-06-14",NA,NA,NA,NA,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2010-06-14",NA,NA,NA,NA,NA,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","2010-06-14",NA,0,2.3,0,NA,NA,NA,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","2010-06-14",NA,0,0,0,NA,NA,NA,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","2010-06-14",NA,NA,NA,NA,NA,NA,NA,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","2010-06-14",NA,NA,NA,NA,NA,NA,NA,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","2010-06-14",NA,NA,NA,NA,NA,NA,NA,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","2010-06-14",NA,NA,NA,NA,NA,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2010-06-14",NA,NA,NA,NA,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","2010-06-14",NA,NA,NA,NA,NA,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","2010-06-14",NA,0,2.4,2.4,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline","2010-06-14",NA,NA,NA,NA,NA,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2010-06-14",NA,NA,NA,NA,NA,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2010-06-14",NA,NA,NA,NA,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2010-06-14",NA,NA,NA,NA,NA,NA,NA,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","2010-06-14",NA,NA,NA,NA,NA,NA,NA,NA
"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st dup","2010-06-14",NA,NA,NA,NA,NA,NA,NA,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","2010-06-14",NA,NA,NA,NA,NA,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2010-06-14",NA,NA,NA,NA,NA,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2010-06-14",NA,NA,NA,NA,NA,NA,NA,NA
"R6C","Bartlett Reservoir near dock","verde","bartlett-hypo","2010-06-14",NA,NA,NA,NA,NA,NA,NA,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","2010-06-14",NA,NA,NA,NA,NA,NA,NA,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","2010-06-14",NA,NA,NA,NA,NA,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2010-06-14",NA,NA,NA,NA,NA,NA,NA,NA
"R9A-Dup","Saguaro Lake near inlet","salt","saguaro-epi dup","2010-06-14",NA,NA,NA,NA,NA,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2010-06-14",NA,NA,NA,NA,NA,NA,NA,NA
"R9C","Saguaro Lake near dock","salt","saguaro-hypo","2010-06-14",NA,NA,NA,NA,NA,NA,NA,NA
"Roosvelt","SRP above Roosevelt Lake",NA,"Above Roosevelt","2010-06-14",NA,NA,NA,NA,NA,NA,NA,NA
"Scotts","AZ Canal at Scottsdale Rd.","srp","az canal @ scotts.","2010-06-14",NA,NA,NA,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","2010-06-14",NA,NA,NA,NA,NA,NA,NA,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","2010-06-14",NA,0,0,0,NA,NA,NA,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out","2010-06-14",NA,0,0,0,NA,NA,NA,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet","2010-06-14",NA,NA,NA,NA,NA,NA,NA,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","2010-06-14",NA,NA,NA,NA,NA,NA,NA,NA
"VV west","Val Vista west","srp","val-vista west","2010-06-14",NA,NA,NA,NA,NA,NA,NA,NA
"Glen In","Glendale WTP Inlet","srp","Glen In","2010-06-28",NA,2,4.1,21.7,NA,NA,NA,NA
"Glen Out","Glendale WTP Outlet","srp","Glen Out","2010-06-28",NA,0,0,2.2,NA,NA,NA,NA
"GR In","Greenway WTP Inlet","srp","Green In","2010-06-28",NA,0,0,2.9,NA,NA,NA,NA
"GR Out","Greenway WTP Outlet","srp","Green Out","2010-06-28",NA,0,0,2.9,NA,NA,NA,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1","2010-06-28",NA,NA,NA,NA,NA,NA,NA,NA
"Havasu 2","Havasu lake Sample",NA,"Havasu 2","2010-06-28",NA,NA,NA,NA,NA,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal","2010-06-28",NA,0,3.1,3.2,NA,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","2010-06-28",NA,0,3.4,5,NA,NA,NA,NA
"Mesa","AZ Canal at Mesa Dr.","srp","az canal @ Mesa","2010-06-28",NA,NA,NA,NA,NA,NA,NA,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","2010-06-28",NA,0,3.1,5.4,NA,NA,NA,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","2010-06-28",NA,0,2.9,4.3,NA,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","2010-06-28",NA,NA,NA,NA,NA,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","2010-06-28",NA,NA,NA,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2010-06-28",NA,0,3.1,5.4,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2010-06-28",NA,NA,NA,NA,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2010-06-28",NA,NA,NA,NA,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2010-06-28",NA,0,2.1,5.7,NA,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","2010-06-28",NA,0,4.6,6.3,NA,NA,NA,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","2010-06-28",NA,0,0,0,NA,NA,NA,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","2010-06-28",NA,3.1,4,22.6,NA,NA,NA,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","2010-06-28",NA,0,3.6,7.7,NA,NA,NA,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","2010-06-28",NA,0,0,0,NA,NA,NA,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","2010-06-28",NA,0,0,0,NA,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2010-06-28",NA,NA,NA,NA,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","2010-06-28",NA,0,3.6,8,NA,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","2010-06-28",NA,0,3.5,5.1,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline","2010-06-28",NA,0,2.6,10,NA,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2010-06-28",NA,0,0,0,NA,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2010-06-28",NA,0,0,0,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2010-06-28",NA,0,0,4.2,NA,NA,NA,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","2010-06-28",NA,NA,NA,NA,NA,NA,NA,NA
"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st dup","2010-06-28",NA,NA,NA,NA,NA,NA,NA,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","2010-06-28",NA,NA,NA,NA,NA,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2010-06-28",NA,3,4.6,2.1,NA,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2010-06-28",NA,0,0,0,NA,NA,NA,NA
"R6C","Bartlett Reservoir near dock","verde","bartlett-hypo","2010-06-28",NA,2.7,4.8,3,NA,NA,NA,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","2010-06-28",NA,NA,NA,NA,NA,NA,NA,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","2010-06-28",NA,NA,NA,NA,NA,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2010-06-28",NA,18.1,6.1,0,NA,NA,NA,NA
"R9A-Dup","Saguaro Lake near inlet","salt","saguaro-epi dup","2010-06-28",NA,20,5.8,0,NA,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2010-06-28",NA,0,3.3,0,NA,NA,NA,NA
"R9C","Saguaro Lake near dock","salt","saguaro-hypo","2010-06-28",NA,18.9,5.9,2.3,NA,NA,NA,NA
"Roosvelt","SRP above Roosevelt Lake",NA,"Above Roosevelt","2010-06-28",NA,NA,NA,NA,NA,NA,NA,NA
"Scotts","AZ Canal at Scottsdale Rd.","srp","az canal @ scotts.","2010-06-28",NA,NA,NA,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","2010-06-28",NA,0,3,4.8,NA,NA,NA,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","2010-06-28",NA,0,0,8.4,NA,NA,NA,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out","2010-06-28",NA,0,0,0,NA,NA,NA,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet","2010-06-28",NA,NA,NA,NA,NA,NA,NA,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","2010-06-28",NA,NA,NA,NA,NA,NA,NA,NA
"VV west","Val Vista west","srp","val-vista west","2010-06-28",NA,0,0,0,NA,NA,NA,NA
"Glen In","Glendale WTP Inlet","srp","Glen In","2010-07-13",NA,NA,NA,NA,NA,NA,NA,NA
"Glen Out","Glendale WTP Outlet","srp","Glen Out","2010-07-13",NA,NA,NA,NA,NA,NA,NA,NA
"GR In","Greenway WTP Inlet","srp","Green In","2010-07-13",NA,NA,NA,NA,NA,NA,NA,NA
"GR Out","Greenway WTP Outlet","srp","Green Out","2010-07-13",NA,NA,NA,NA,NA,NA,NA,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1","2010-07-13",NA,NA,NA,NA,NA,NA,NA,NA
"Havasu 2","Havasu lake Sample",NA,"Havasu 2","2010-07-13",NA,NA,NA,NA,NA,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal","2010-07-13",NA,NA,NA,NA,NA,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","2010-07-13",NA,NA,NA,NA,NA,NA,NA,NA
"Mesa","AZ Canal at Mesa Dr.","srp","az canal @ Mesa","2010-07-13",NA,NA,NA,NA,NA,NA,NA,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","2010-07-13",NA,0,3.7,6,NA,NA,NA,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","2010-07-13",NA,0,0,0,NA,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","2010-07-13",NA,NA,NA,NA,NA,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","2010-07-13",NA,NA,NA,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2010-07-13",NA,4.4,3.3,4.8,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2010-07-13",NA,NA,NA,NA,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2010-07-13",NA,NA,NA,NA,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2010-07-13",NA,NA,NA,NA,NA,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","2010-07-13",NA,0,6.3,6.2,NA,NA,NA,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","2010-07-13",NA,0,2.9,5.1,NA,NA,NA,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","2010-07-13",NA,NA,NA,NA,NA,NA,NA,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","2010-07-13",NA,NA,NA,NA,NA,NA,NA,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","2010-07-13",NA,NA,NA,NA,NA,NA,NA,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","2010-07-13",NA,NA,NA,NA,NA,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2010-07-13",NA,NA,NA,NA,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","2010-07-13",NA,NA,NA,NA,NA,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","2010-07-13",NA,2.6,0,6.8,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline","2010-07-13",NA,NA,NA,NA,NA,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2010-07-13",NA,NA,NA,NA,NA,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2010-07-13",NA,NA,NA,NA,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2010-07-13",NA,NA,NA,NA,NA,NA,NA,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","2010-07-13",NA,NA,NA,NA,NA,NA,NA,NA
"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st dup","2010-07-13",NA,NA,NA,NA,NA,NA,NA,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","2010-07-13",NA,NA,NA,NA,NA,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2010-07-13",NA,NA,NA,NA,NA,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2010-07-13",NA,NA,NA,NA,NA,NA,NA,NA
"R6C","Bartlett Reservoir near dock","verde","bartlett-hypo","2010-07-13",NA,NA,NA,NA,NA,NA,NA,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","2010-07-13",NA,NA,NA,NA,NA,NA,NA,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","2010-07-13",NA,NA,NA,NA,NA,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2010-07-13",NA,NA,NA,NA,NA,NA,NA,NA
"R9A-Dup","Saguaro Lake near inlet","salt","saguaro-epi dup","2010-07-13",NA,NA,NA,NA,NA,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2010-07-13",NA,NA,NA,NA,NA,NA,NA,NA
"R9C","Saguaro Lake near dock","salt","saguaro-hypo","2010-07-13",NA,NA,NA,NA,NA,NA,NA,NA
"Roosvelt","SRP above Roosevelt Lake",NA,"Above Roosevelt","2010-07-13",NA,NA,NA,NA,NA,NA,NA,NA
"Scotts","AZ Canal at Scottsdale Rd.","srp","az canal @ scotts.","2010-07-13",NA,NA,NA,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","2010-07-13",NA,NA,NA,NA,NA,NA,NA,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","2010-07-13",NA,0,0,0,NA,NA,NA,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out","2010-07-13",NA,0,0,0,NA,NA,NA,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet","2010-07-13",NA,NA,NA,NA,NA,NA,NA,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","2010-07-13",NA,NA,NA,NA,NA,NA,NA,NA
"VV west","Val Vista west","srp","val-vista west","2010-07-13",NA,NA,NA,NA,NA,NA,NA,NA
"Glen In","Glendale WTP Inlet","srp","Glen In","2010-08-02",NA,4.9,8.6,5.2,NA,NA,NA,NA
"Glen Out","Glendale WTP Outlet","srp","Glen Out","2010-08-02",NA,0,0,0,NA,NA,NA,NA
"GR In","Greenway WTP Inlet","srp","Green In","2010-08-02",NA,11,3.6,0,NA,NA,NA,NA
"GR Out","Greenway WTP Outlet","srp","Green Out","2010-08-02",NA,4.3,6,5.6,NA,NA,NA,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1","2010-08-02",NA,2.8,2,0,NA,NA,NA,NA
"Havasu 2","Havasu lake Sample",NA,"Havasu 2","2010-08-02",NA,NA,NA,NA,NA,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal","2010-08-02",NA,3.6,3.7,3.5,NA,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","2010-08-02",NA,3.7,4.2,3.4,NA,NA,NA,NA
"Mesa","AZ Canal at Mesa Dr.","srp","az canal @ Mesa","2010-08-02",NA,NA,NA,NA,NA,NA,NA,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","2010-08-02",NA,4.3,5.7,5.3,NA,NA,NA,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","2010-08-02",NA,3.1,4.1,0,NA,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","2010-08-02",NA,NA,NA,NA,NA,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","2010-08-02",NA,NA,NA,NA,NA,NA,NA,NA
