"site number","site location","Cluster","site acronym","date","depth (m)","T (C)","DO (mg/l)","pH","Secchi Disk (m)","samples collected","comments"
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-01-31",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-01-31",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-01-31",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-01-31",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-01-31",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-01-31",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-01-31",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-01-31",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-01-31",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-01-31",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-01-31",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-01-31",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-01-31",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-01-31",NA,NA,NA,NA,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2011-01-31",NA,NA,NA,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","2011-01-31",NA,NA,NA,NA,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","2011-01-31",NA,NA,NA,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline","2011-01-31",NA,NA,NA,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2011-01-31",NA,NA,NA,NA,NA,NA,NA
"R6-10","Bartlett Reservoir near outlet","verde","bartlett-10m","2011-01-31",NA,NA,NA,NA,NA,NA,NA
"R6-15","Bartlett Reservoir near outlet","verde","bartlett-15m","2011-01-31",NA,NA,NA,NA,NA,NA,NA
"R6-20","Bartlett Reservoir near outlet","verde","bartlett-20m","2011-01-31",NA,NA,NA,NA,NA,NA,NA
"R6-25","Bartlett Reservoir near outlet","verde","bartlett-25m","2011-01-31",NA,NA,NA,NA,NA,NA,NA
"R6-30","Bartlett Reservoir near outlet","verde","bartlett-30m","2011-01-31",NA,NA,NA,NA,NA,NA,NA
"R6-35","Bartlett Reservoir near outlet","verde","bartlett-35m","2011-01-31",NA,NA,NA,NA,NA,NA,NA
"R6-40","Bartlett Reservoir near outlet","verde","bartlett-40m","2011-01-31",NA,NA,NA,NA,NA,NA,NA
"R6-45","Bartlett Reservoir near outlet","verde","bartlett-45m","2011-01-31",NA,NA,NA,NA,NA,NA,NA
"R6-5","Bartlett Reservoir near outlet","verde","bartlett-5m","2011-01-31",NA,NA,NA,NA,NA,NA,NA
"R6-50","Bartlett Reservoir near outlet","verde","bartlett-50m","2011-01-31",NA,NA,NA,NA,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-0m","2011-01-31",NA,NA,NA,NA,NA,NA,NA
"R9-10","Saguaro Lake near inlet","salt","saguaro-10m","2011-01-31",NA,12.1,8.5,NA,NA,NA,NA
"R9-15","Saguaro Lake near inlet","salt","saguaro-15m","2011-01-31",NA,12.1,8.5,NA,NA,NA,NA
"R9-20","Saguaro Lake near inlet","salt","saguaro-20m","2011-01-31",NA,12.1,8.4,NA,NA,NA,NA
"R9-25","Saguaro Lake near inlet","salt","saguaro-25m","2011-01-31",NA,12.2,8.4,NA,NA,NA,NA
"R9-30","Saguaro Lake near inlet","salt","saguaro-30m","2011-01-31",NA,12.1,8.2,NA,NA,NA,NA
"R9-35","Saguaro Lake near inlet","salt","saguaro-35m","2011-01-31",NA,NA,NA,NA,NA,NA,NA
"R9-40","Saguaro Lake near inlet","salt","saguaro-40m","2011-01-31",NA,NA,NA,NA,NA,NA,NA
"R9-45","Saguaro Lake near inlet","salt","saguaro-45m","2011-01-31",NA,NA,NA,NA,NA,NA,NA
"R9-5","Saguaro Lake near inlet","salt","saguaro-5m","2011-01-31",NA,12,8.5,NA,NA,NA,NA
"R9-50","Saguaro Lake near inlet","salt","saguaro-50m","2011-01-31",NA,NA,NA,NA,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-0m","2011-01-31",NA,12,8.7,NA,2.44,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","2011-01-31",NA,NA,NA,NA,NA,NA,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","2011-01-31",NA,NA,NA,NA,NA,NA,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out","2011-01-31",NA,NA,NA,NA,NA,NA,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet","2011-01-31",NA,NA,NA,NA,NA,NA,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","2011-01-31",NA,NA,NA,NA,NA,NA,NA
"Glen In","Glendale WTP inlet",NA,"Glen In","2011-02-28",NA,NA,NA,NA,NA,NA,NA
"Glen Out","Glendale WTP outlet",NA,"Glen Out","2011-02-28",NA,NA,NA,NA,NA,NA,NA
"Green In","Greenway WTP Inlet","srp","Green In","2011-02-28",NA,NA,NA,NA,NA,NA,NA
"Green Out","Greenway WTP Outlet","srp","Green Out","2011-02-28",NA,NA,NA,NA,NA,NA,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1","2011-02-28",NA,NA,NA,NA,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal","2011-02-28",NA,NA,NA,NA,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","2011-02-28",NA,NA,NA,NA,NA,NA,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","2011-02-28",NA,NA,NA,NA,NA,NA,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","2011-02-28",NA,NA,NA,NA,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","2011-02-28",NA,NA,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2011-02-28",NA,NA,NA,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2011-02-28",NA,NA,NA,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2011-02-28",NA,NA,NA,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2011-02-28",NA,NA,NA,NA,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","2011-02-28",NA,NA,NA,NA,NA,NA,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","2011-02-28",NA,NA,NA,NA,NA,NA,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","2011-02-28",NA,NA,NA,NA,NA,NA,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","2011-02-28",NA,NA,NA,NA,NA,NA,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","2011-02-28",NA,NA,NA,NA,NA,NA,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","2011-02-28",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-02-28",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-02-28",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-02-28",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-02-28",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-02-28",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-02-28",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-02-28",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-02-28",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-02-28",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-02-28",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-02-28",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-02-28",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-02-28",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-02-28",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-02-28",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-02-28",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-02-28",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-02-28",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-02-28",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-02-28",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-02-28",NA,NA,NA,NA,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2011-02-28",NA,NA,NA,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","2011-02-28",NA,NA,NA,NA,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","2011-02-28",NA,NA,NA,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline","2011-02-28",NA,NA,NA,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2011-02-28",NA,NA,NA,NA,NA,NA,NA
"R6-10","Bartlett Reservoir near outlet","verde","bartlett-10m","2011-02-28",NA,11.1,12.1,NA,NA,NA,NA
"R6-15","Bartlett Reservoir near outlet","verde","bartlett-15m","2011-02-28",NA,11,12.2,NA,NA,NA,NA
"R6-20","Bartlett Reservoir near outlet","verde","bartlett-20m","2011-02-28",NA,10.5,12.3,NA,NA,NA,NA
"R6-25","Bartlett Reservoir near outlet","verde","bartlett-25m","2011-02-28",NA,10.2,11.9,NA,NA,NA,NA
"R6-30","Bartlett Reservoir near outlet","verde","bartlett-30m","2011-02-28",NA,10,11.4,NA,NA,NA,NA
"R6-35","Bartlett Reservoir near outlet","verde","bartlett-35m","2011-02-28",NA,9.9,10.9,NA,NA,NA,NA
"R6-40","Bartlett Reservoir near outlet","verde","bartlett-40m","2011-02-28",NA,9.8,10.8,NA,NA,NA,NA
"R6-45","Bartlett Reservoir near outlet","verde","bartlett-45m","2011-02-28",NA,9.7,10.1,NA,NA,NA,NA
"R6-5","Bartlett Reservoir near outlet","verde","bartlett-5m","2011-02-28",NA,11.2,11.8,NA,NA,NA,NA
"R6-50","Bartlett Reservoir near outlet","verde","bartlett-50m","2011-02-28",NA,NA,NA,NA,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-0m","2011-02-28",NA,11.3,11.4,NA,2.13,NA,NA
"R9-10","Saguaro Lake near inlet","salt","saguaro-10m","2011-02-28",NA,12.3,10.4,NA,NA,NA,NA
"R9-15","Saguaro Lake near inlet","salt","saguaro-15m","2011-02-28",NA,12.1,9.6,NA,NA,NA,NA
"R9-20","Saguaro Lake near inlet","salt","saguaro-20m","2011-02-28",NA,11.9,9,NA,NA,NA,NA
"R9-25","Saguaro Lake near inlet","salt","saguaro-25m","2011-02-28",NA,11.8,8.5,NA,NA,NA,NA
"R9-30","Saguaro Lake near inlet","salt","saguaro-30m","2011-02-28",NA,11.8,8.3,NA,NA,NA,NA
"R9-35","Saguaro Lake near inlet","salt","saguaro-35m","2011-02-28",NA,NA,NA,NA,NA,NA,NA
"R9-40","Saguaro Lake near inlet","salt","saguaro-40m","2011-02-28",NA,NA,NA,NA,NA,NA,NA
"R9-45","Saguaro Lake near inlet","salt","saguaro-45m","2011-02-28",NA,NA,NA,NA,NA,NA,NA
"R9-5","Saguaro Lake near inlet","salt","saguaro-5m","2011-02-28",NA,12.6,10.4,NA,NA,NA,NA
"R9-50","Saguaro Lake near inlet","salt","saguaro-50m","2011-02-28",NA,NA,NA,NA,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-0m","2011-02-28",NA,12.7,9.8,NA,3.35,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","2011-02-28",NA,NA,NA,NA,NA,NA,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","2011-02-28",NA,NA,NA,NA,NA,NA,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out","2011-02-28",NA,NA,NA,NA,NA,NA,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet","2011-02-28",NA,NA,NA,NA,NA,NA,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","2011-02-28",NA,NA,NA,NA,NA,NA,NA
"Glen In","Glendale WTP inlet",NA,"Glen In","2011-04-04",NA,NA,NA,NA,NA,NA,NA
"Glen Out","Glendale WTP outlet",NA,"Glen Out","2011-04-04",NA,NA,NA,NA,NA,NA,NA
"Green In","Greenway WTP Inlet","srp","Green In","2011-04-04",NA,NA,NA,NA,NA,NA,NA
"Green Out","Greenway WTP Outlet","srp","Green Out","2011-04-04",NA,NA,NA,NA,NA,NA,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1","2011-04-04",NA,NA,NA,NA,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal","2011-04-04",NA,NA,NA,NA,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","2011-04-04",NA,NA,NA,NA,NA,NA,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","2011-04-04",NA,NA,NA,NA,NA,NA,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","2011-04-04",NA,NA,NA,NA,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","2011-04-04",NA,NA,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2011-04-04",NA,NA,NA,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2011-04-04",NA,NA,NA,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2011-04-04",NA,NA,NA,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2011-04-04",NA,NA,NA,NA,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","2011-04-04",NA,NA,NA,NA,NA,NA,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","2011-04-04",NA,NA,NA,NA,NA,NA,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","2011-04-04",NA,NA,NA,NA,NA,NA,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","2011-04-04",NA,NA,NA,NA,NA,NA,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","2011-04-04",NA,NA,NA,NA,NA,NA,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","2011-04-04",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-04-04",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-04-04",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-04-04",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-04-04",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-04-04",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-04-04",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-04-04",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-04-04",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-04-04",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-04-04",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-04-04",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-04-04",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-04-04",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-04-04",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-04-04",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-04-04",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-04-04",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-04-04",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-04-04",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-04-04",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-04-04",NA,NA,NA,NA,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2011-04-04",NA,NA,NA,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","2011-04-04",NA,NA,NA,NA,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","2011-04-04",NA,NA,NA,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline","2011-04-04",NA,NA,NA,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2011-04-04",NA,NA,NA,NA,NA,NA,NA
"R6-10","Bartlett Reservoir near outlet","verde","bartlett-10m","2011-04-04",NA,15.7,9.7,NA,NA,NA,NA
"R6-15","Bartlett Reservoir near outlet","verde","bartlett-15m","2011-04-04",NA,13.5,8.4,NA,NA,NA,NA
"R6-20","Bartlett Reservoir near outlet","verde","bartlett-20m","2011-04-04",NA,12.2,9.1,NA,NA,NA,NA
"R6-25","Bartlett Reservoir near outlet","verde","bartlett-25m","2011-04-04",NA,11.7,9.5,NA,NA,NA,NA
"R6-30","Bartlett Reservoir near outlet","verde","bartlett-30m","2011-04-04",NA,11.3,9.2,NA,NA,NA,NA
"R6-35","Bartlett Reservoir near outlet","verde","bartlett-35m","2011-04-04",NA,10.8,8.4,NA,NA,NA,NA
"R6-40","Bartlett Reservoir near outlet","verde","bartlett-40m","2011-04-04",NA,10.6,8.1,NA,NA,NA,NA
"R6-45","Bartlett Reservoir near outlet","verde","bartlett-45m","2011-04-04",NA,NA,NA,NA,NA,NA,NA
"R6-5","Bartlett Reservoir near outlet","verde","bartlett-5m","2011-04-04",NA,17.7,11.5,NA,NA,NA,NA
"R6-50","Bartlett Reservoir near outlet","verde","bartlett-50m","2011-04-04",NA,NA,NA,NA,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-0m","2011-04-04",NA,18.2,9.9,NA,2.13,NA,NA
"R9-10","Saguaro Lake near inlet","salt","saguaro-10m","2011-04-04",NA,15,8.4,NA,NA,NA,NA
"R9-15","Saguaro Lake near inlet","salt","saguaro-15m","2011-04-04",NA,13.4,5.7,NA,NA,NA,NA
"R9-20","Saguaro Lake near inlet","salt","saguaro-20m","2011-04-04",NA,12.7,5.7,NA,NA,NA,NA
"R9-25","Saguaro Lake near inlet","salt","saguaro-25m","2011-04-04",NA,12.4,5.5,NA,NA,NA,NA
"R9-30","Saguaro Lake near inlet","salt","saguaro-30m","2011-04-04",NA,12.3,5.2,NA,NA,NA,NA
"R9-35","Saguaro Lake near inlet","salt","saguaro-35m","2011-04-04",NA,NA,NA,NA,NA,NA,NA
"R9-40","Saguaro Lake near inlet","salt","saguaro-40m","2011-04-04",NA,NA,NA,NA,NA,NA,NA
"R9-45","Saguaro Lake near inlet","salt","saguaro-45m","2011-04-04",NA,NA,NA,NA,NA,NA,NA
"R9-5","Saguaro Lake near inlet","salt","saguaro-5m","2011-04-04",NA,18.7,11.3,NA,NA,NA,NA
"R9-50","Saguaro Lake near inlet","salt","saguaro-50m","2011-04-04",NA,NA,NA,NA,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-0m","2011-04-04",NA,18.7,10.4,NA,3.35,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","2011-04-04",NA,NA,NA,NA,NA,NA,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","2011-04-04",NA,NA,NA,NA,NA,NA,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out","2011-04-04",NA,NA,NA,NA,NA,NA,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet","2011-04-04",NA,NA,NA,NA,NA,NA,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","2011-04-04",NA,NA,NA,NA,NA,NA,NA
"Glen In","Glendale WTP inlet",NA,"Glen In","2011-05-02",NA,NA,NA,NA,NA,NA,NA
"Glen Out","Glendale WTP outlet",NA,"Glen Out","2011-05-02",NA,NA,NA,NA,NA,NA,NA
"Green In","Greenway WTP Inlet","srp","Green In","2011-05-02",NA,NA,NA,NA,NA,NA,NA
"Green Out","Greenway WTP Outlet","srp","Green Out","2011-05-02",NA,NA,NA,NA,NA,NA,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1","2011-05-02",NA,NA,NA,NA,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal","2011-05-02",NA,NA,NA,NA,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","2011-05-02",NA,NA,NA,NA,NA,NA,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","2011-05-02",NA,NA,NA,NA,NA,NA,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","2011-05-02",NA,NA,NA,NA,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","2011-05-02",NA,NA,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2011-05-02",NA,NA,NA,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2011-05-02",NA,NA,NA,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2011-05-02",NA,NA,NA,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2011-05-02",NA,NA,NA,NA,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","2011-05-02",NA,NA,NA,NA,NA,NA,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","2011-05-02",NA,NA,NA,NA,NA,NA,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","2011-05-02",NA,NA,NA,NA,NA,NA,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","2011-05-02",NA,NA,NA,NA,NA,NA,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","2011-05-02",NA,NA,NA,NA,NA,NA,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","2011-05-02",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-05-02",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-05-02",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-05-02",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-05-02",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-05-02",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-05-02",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-05-02",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-05-02",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-05-02",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-05-02",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-05-02",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-05-02",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-05-02",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-05-02",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-05-02",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-05-02",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-05-02",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-05-02",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-05-02",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-05-02",NA,NA,NA,NA,NA,NA,NA
"R2","Lake Pleasant integrated sample","cap","pleasant","2011-05-02",NA,NA,NA,NA,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2011-05-02",NA,NA,NA,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","2011-05-02",NA,NA,NA,NA,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","2011-05-02",NA,NA,NA,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline","2011-05-02",NA,NA,NA,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2011-05-02",NA,NA,NA,NA,NA,NA,NA
"R6-10","Bartlett Reservoir near outlet","verde","bartlett-10m","2011-05-02",NA,19.4,10.5,NA,NA,NA,NA
"R6-15","Bartlett Reservoir near outlet","verde","bartlett-15m","2011-05-02",NA,18.9,9.6,NA,NA,NA,NA
"R6-20","Bartlett Reservoir near outlet","verde","bartlett-20m","2011-05-02",NA,16.7,6.6,NA,NA,NA,NA
"R6-25","Bartlett Reservoir near outlet","verde","bartlett-25m","2011-05-02",NA,16.1,6,NA,NA,NA,NA
