"site number","site location","Cluster","site acronym","date","sample type","TOC (mg/L)","DOC (mg/L)","UVA (cm-1)","suva (L/mg-m)","peak int","peak int WL","int at 450","int at 460","int at 500","FI (450/500)","docm comments"
"Roos In","Roosevelt Lake near inlet","salt","Roos In","2014-04-07",NA,NA,1.83399740033731,0.046,2.50818239936107,NA,NA,NA,NA,NA,NA,NA
"Salt Gila","Salt Gila",NA,"Salt Gila","2014-04-07",NA,NA,2.79162165735762,0.041,1.4686803955665,NA,NA,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","2014-04-07",NA,NA,3.55912933394007,0.07,1.9667731468052,NA,NA,NA,NA,NA,NA,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","2014-04-07",NA,NA,0.688509796425083,0.005,0.726206079559254,NA,NA,NA,NA,NA,NA,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out","2014-04-07",NA,NA,0.488676146320405,0.007,1.43244151626963,NA,NA,NA,NA,NA,NA,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet","2014-04-07",NA,NA,2.70712539938524,0.043,1.5884007445597,NA,NA,NA,NA,NA,NA,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","2014-04-07",NA,NA,2.20578093541578,0.021,0.95204377111191,NA,NA,NA,NA,NA,NA,NA
"An in","Anthem WTP inlet",NA,"anthem","2014-05-05",NA,NA,3.12,0.051,1.63461538461538,NA,NA,NA,NA,NA,NA,NA
"An out","Anthem WTP outlet",NA,"anthem","2014-05-05",NA,NA,2.72,0.04,1.47058823529412,NA,NA,NA,NA,NA,NA,NA
"Ch in","Chandler WTP inlet",NA,"chandler","2014-05-05",NA,NA,1.36,0.026,1.91176470588235,NA,NA,NA,NA,NA,NA,NA
"Ch out","Chandler WTP outlet",NA,"chandler","2014-05-05",NA,NA,1.08,0.02,1.85185185185185,NA,NA,NA,NA,NA,NA,NA
"Glen In","Glendale WTP Inlet",NA,"Glen In","2014-05-05",NA,NA,2.87,0.056,1.95121951219512,NA,NA,NA,NA,NA,NA,NA
"Glen Out","Glendale WTP Outlet",NA,"Glen Out","2014-05-05",NA,NA,1.85,0.023,1.24324324324324,NA,NA,NA,NA,NA,NA,NA
"Green In","Greenway WTP Inlet","srp","Green In","2014-05-05",NA,NA,3.16,0.058,1.83544303797468,NA,NA,NA,NA,NA,NA,NA
"Green Out","Greenway WTP Outlet","srp","Green Out","2014-05-05",NA,NA,1.94,0.02,1.03092783505155,NA,NA,NA,NA,NA,NA,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1","2014-05-05",NA,NA,4.298,4.8,0.058,NA,NA,NA,NA,NA,NA,NA
"HOC","Head of the Consolidated Canal","az canal",NA,"2014-05-05",NA,NA,2.28,0.041,1.79824561403509,NA,NA,NA,NA,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal","2014-05-05",NA,NA,2.18,0.044,2.01834862385321,NA,NA,NA,NA,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","2014-05-05",NA,NA,3.67,0.061,1.66212534059945,NA,NA,NA,NA,NA,NA,NA
"Mesa Turnout","Mesa Turnout",NA,"Mesa Turnout","2014-05-05",NA,NA,4.9,0.053,1.08163265306122,NA,NA,NA,NA,NA,NA,NA
"MOC","Middle of the Consolidated canal","az canal","Mesa Turnout","2014-05-05",NA,NA,1.04,0.021,2.01923076923077,NA,NA,NA,NA,NA,NA,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","2014-05-05",NA,NA,3.3,0.06,1.81818181818182,NA,NA,NA,NA,NA,NA,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","2014-05-05",NA,NA,0.61,0.017,2.78688524590164,NA,NA,NA,NA,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","2014-05-05",NA,NA,6.13,0.062,1.01141924959217,NA,NA,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2014-05-05",NA,NA,4.2,0.068,1.61904761904762,NA,NA,NA,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2014-05-05",NA,NA,2.87,0.051,1.77700348432056,NA,NA,NA,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2014-05-05",NA,NA,3.77,0.07,1.85676392572944,NA,NA,NA,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2014-05-05",NA,NA,3.27,0.06,1.8348623853211,NA,NA,NA,NA,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2014-05-05",NA,NA,2.9,0.042,1.44827586206897,NA,NA,NA,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","2014-05-05",NA,NA,3.32,0.059,1.77710843373494,NA,NA,NA,NA,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","2014-05-05",NA,NA,3.33,0.064,1.92192192192192,NA,NA,NA,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline","2014-05-05",NA,NA,2.84,0.063,2.21830985915493,NA,NA,NA,NA,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2014-05-05",NA,NA,6.2,0.05,0.806451612903226,NA,NA,NA,NA,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2014-05-05",NA,NA,4.2,0.047,1.11904761904762,NA,NA,NA,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2014-05-05",NA,NA,2.78,0.051,1.83453237410072,NA,NA,NA,NA,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2014-05-05",NA,NA,3.95,0.081,2.0506329113924,NA,NA,NA,NA,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2014-05-05",NA,NA,4.11,0.083,2.01946472019465,NA,NA,NA,NA,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2014-05-05",NA,NA,4.61,0.07,1.51843817787419,NA,NA,NA,NA,NA,NA,NA
"R9A-Dup","Saguaro Lake near inlet","salt","saguaro-epi dup","2014-05-05",NA,NA,5.8,0.071,1.22413793103448,NA,NA,NA,NA,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2014-05-05",NA,NA,4.65,0.071,1.52688172043011,NA,NA,NA,NA,NA,NA,NA
"Roos In","Roosevelt Lake near inlet","salt","Roos In","2014-05-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salt Gila","Salt Gila",NA,"Salt Gila","2014-05-05",NA,NA,3.9,0.051,1.30769230769231,NA,NA,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","2014-05-05",NA,NA,3.85,0.069,1.79220779220779,NA,NA,NA,NA,NA,NA,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","2014-05-05",NA,NA,0.85,0.017,2,NA,NA,NA,NA,NA,NA,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out","2014-05-05",NA,NA,0.77,0.009,1.16883116883117,NA,NA,NA,NA,NA,NA,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet","2014-05-05",NA,NA,2.85,0.049,1.71929824561404,NA,NA,NA,NA,NA,NA,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","2014-05-05",NA,NA,3.15,0.031,0.984126984126984,NA,NA,NA,NA,NA,NA,NA
"AN IN","Anthem WTP inlet",NA,"anthem","2014-06-02",NA,NA,5.9,0.042,0.711864406779661,NA,NA,NA,NA,NA,NA,NA
"AN IN","Anthem WTP inlet",NA,"anthem","2014-06-02",NA,NA,5.9,0.042,0.711864406779661,NA,NA,NA,NA,NA,NA,NA
"AN OUT","Anthem WTP outlet",NA,"anthem","2014-06-02",NA,NA,5.8,0.04,0.689655172413793,NA,NA,NA,NA,NA,NA,NA
"CH IN","Chandler WTP inlet",NA,"chandler","2014-06-02",NA,NA,5.6,0.036,0.642857142857143,NA,NA,NA,NA,NA,NA,NA
"CH IN","Chandler WTP inlet",NA,"chandler","2014-06-02",NA,NA,5.6,0.036,0.642857142857143,NA,NA,NA,NA,NA,NA,NA
"CH OUT","Chandler WTP outlet",NA,"chandler","2014-06-02",NA,NA,5.6,0.028,0.5,NA,NA,NA,NA,NA,NA,NA
"GL IN","Glendale WTP Inlet",NA,"Glen In","2014-06-02",NA,NA,6.4,0.062,0.96875,NA,NA,NA,NA,NA,NA,NA
"GL IN","Glendale WTP Inlet",NA,"Glen In","2014-06-02",NA,NA,6.4,0.062,0.96875,NA,NA,NA,NA,NA,NA,NA
"GL OUT","Glendale WTP Outlet",NA,"Glen Out","2014-06-02",NA,NA,4.2,0.022,0.523809523809524,NA,NA,NA,NA,NA,NA,NA
"GR IN","Greenway WTP Inlet","srp","Green In","2014-06-02",NA,NA,7.7,0.064,0.831168831168831,NA,NA,NA,NA,NA,NA,NA
"GR IN","Greenway WTP Inlet","srp","Green In","2014-06-02",NA,NA,7.7,0.064,0.831168831168831,NA,NA,NA,NA,NA,NA,NA
"GR OUT","Greenway WTP Outlet","srp","Green Out","2014-06-02",NA,NA,2.4,0.026,1.08333333333333,NA,NA,NA,NA,NA,NA,NA
"HAV","Havasu lake Sample",NA,"Havasu","2014-06-02",NA,NA,8.798,0.047,0.534212320982041,NA,NA,NA,NA,NA,NA,NA
"HOC","Head of the Consolidated Canal","az canal",NA,"2014-06-02",NA,NA,6.3,0.051,0.809523809523809,NA,NA,NA,NA,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal","2014-06-02",NA,NA,5.8,0.049,0.844827586206897,NA,NA,NA,NA,NA,NA,NA
"HWY 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","2014-06-02",NA,NA,7,0.061,0.871428571428571,NA,NA,NA,NA,NA,NA,NA
"MOC","Middle of the Consolidated canal","az canal","Mesa Turnout","2014-06-02",NA,NA,6.4,0.035,0.546875,NA,NA,NA,NA,NA,NA,NA
"MTO","Mesa Turnout",NA,"Mesa Turnout","2014-06-02",NA,NA,4.935,0.045,0.911854103343465,NA,NA,NA,NA,NA,NA,NA
"NP IN","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","2014-06-02",NA,NA,6.8,0.064,0.941176470588235,NA,NA,NA,NA,NA,NA,NA
"NP OUT","Tempe's North Plant treated water","tempe","north plant outlet","2014-06-02",NA,NA,6.1,0.049,0.80327868852459,NA,NA,NA,NA,NA,NA,NA
"PIMA","AZ Canal at Pima Rd.","srp","az canal @ pima","2014-06-02",NA,NA,5.4,0.062,1.14814814814815,NA,NA,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2014-06-02",NA,NA,6.4,0.062,0.96875,NA,NA,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2014-06-02",NA,NA,6.4,0.062,0.96875,NA,NA,NA,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2014-06-02",NA,NA,6.1,0.047,0.770491803278689,NA,NA,NA,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2014-06-02",NA,NA,5.6,0.048,0.857142857142857,NA,NA,NA,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2014-06-02",NA,NA,6.9,0.054,0.782608695652174,NA,NA,NA,NA,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2014-06-02",NA,NA,12.73,0.044,0.345640219952867,NA,NA,NA,NA,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2014-06-02",NA,NA,4.1,0.055,1.34146341463415,NA,NA,NA,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","2014-06-02",NA,NA,4.9,0.066,1.3469387755102,NA,NA,NA,NA,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","2014-06-02",NA,NA,2.5,0.062,2.48,NA,NA,NA,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline","2014-06-02",NA,NA,6.9,0.087,1.26086956521739,NA,NA,NA,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline","2014-06-02",NA,NA,6.9,0.087,1.26086956521739,NA,NA,NA,NA,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2014-06-02",NA,NA,9.521,0.044,0.462136330217414,NA,NA,NA,NA,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2014-06-02",NA,NA,9.059,0.04,0.441549839938183,NA,NA,NA,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2014-06-02",NA,NA,7.3,0.047,0.643835616438356,NA,NA,NA,NA,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2014-06-02",NA,NA,7.7,0.072,0.935064935064935,NA,NA,NA,NA,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2014-06-02",NA,NA,8.3,0.086,1.03614457831325,NA,NA,NA,NA,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2014-06-02",NA,NA,8.7,0.076,0.873563218390805,NA,NA,NA,NA,NA,NA,NA
"R9A-DUP","Saguaro Lake near inlet","salt","saguaro-epi dup","2014-06-02",NA,NA,7.4,0.063,0.851351351351351,NA,NA,NA,NA,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2014-06-02",NA,NA,8,0.063,0.7875,NA,NA,NA,NA,NA,NA,NA
"SGPS","Salt Gila",NA,"Salt Gila","2014-06-02",NA,NA,7.774,0.044,0.565989194751736,NA,NA,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","2014-06-02",NA,NA,5.6,0.066,1.17857142857143,NA,NA,NA,NA,NA,NA,NA
"SPT IN","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","2014-06-02",NA,NA,4.5,0.023,0.511111111111111,NA,NA,NA,NA,NA,NA,NA
"SPT IN","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","2014-06-02",NA,NA,4.5,0.023,0.511111111111111,NA,NA,NA,NA,NA,NA,NA
"SPT OUT","Tempe's South Plant treated water","tempe","STP Out","2014-06-02",NA,NA,5.6,0.013,0.232142857142857,NA,NA,NA,NA,NA,NA,NA
"UH IN","Union Hills Inlet","cap","Union Hills Inlet","2014-06-02",NA,NA,5.8,0.045,0.775862068965517,NA,NA,NA,NA,NA,NA,NA
"UH IN","Union Hills Inlet","cap","Union Hills Inlet","2014-06-02",NA,NA,5.8,0.045,0.775862068965517,NA,NA,NA,NA,NA,NA,NA
"UH OUT","Union Hills Treated Water","cap","Union Hills Outlet","2014-06-02",NA,NA,3.1,0.028,0.903225806451613,NA,NA,NA,NA,NA,NA,NA
"AN IN","Anthem WTP inlet",NA,"anthem","2014-07-07",NA,NA,5.9,0.042,0.711864406779661,NA,NA,NA,NA,NA,NA,NA
"AN IN","Anthem WTP inlet",NA,"anthem","2014-07-07",NA,NA,5.9,0.042,0.711864406779661,NA,NA,NA,NA,NA,NA,NA
"AN OUT","Anthem WTP outlet",NA,"anthem","2014-07-07",NA,NA,5.8,0.04,0.689655172413793,NA,NA,NA,NA,NA,NA,NA
"CH IN","Chandler WTP inlet",NA,"chandler","2014-07-07",NA,NA,5.6,0.036,0.642857142857143,NA,NA,NA,NA,NA,NA,NA
"CH IN","Chandler WTP inlet",NA,"chandler","2014-07-07",NA,NA,5.6,0.036,0.642857142857143,NA,NA,NA,NA,NA,NA,NA
"CH OUT","Chandler WTP outlet",NA,"chandler","2014-07-07",NA,NA,5.6,0.028,0.5,NA,NA,NA,NA,NA,NA,NA
"GL IN","Glendale WTP Inlet",NA,"Glen In","2014-07-07",NA,NA,6.4,0.062,0.96875,NA,NA,NA,NA,NA,NA,NA
"GL IN","Glendale WTP Inlet",NA,"Glen In","2014-07-07",NA,NA,6.4,0.062,0.96875,NA,NA,NA,NA,NA,NA,NA
"GL OUT","Glendale WTP Outlet",NA,"Glen Out","2014-07-07",NA,NA,4.2,0.022,0.523809523809524,NA,NA,NA,NA,NA,NA,NA
"GR IN","Greenway WTP Inlet","srp","Green In","2014-07-07",NA,NA,7.7,0.064,0.831168831168831,NA,NA,NA,NA,NA,NA,NA
"GR IN","Greenway WTP Inlet","srp","Green In","2014-07-07",NA,NA,7.7,0.064,0.831168831168831,NA,NA,NA,NA,NA,NA,NA
"GR OUT","Greenway WTP Outlet","srp","Green Out","2014-07-07",NA,NA,2.4,0.026,1.08333333333333,NA,NA,NA,NA,NA,NA,NA
"HAV","Havasu lake Sample",NA,"Havasu","2014-07-07",NA,NA,5.2,0.049,0.942307692307692,NA,NA,NA,NA,NA,NA,NA
"HOC","Head of the Consolidated Canal","az canal",NA,"2014-07-07",NA,NA,6.3,0.051,0.809523809523809,NA,NA,NA,NA,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal","2014-07-07",NA,NA,5.8,0.049,0.844827586206897,NA,NA,NA,NA,NA,NA,NA
"HWY 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","2014-07-07",NA,NA,7,0.061,0.871428571428571,NA,NA,NA,NA,NA,NA,NA
"MOC","Middle of the Consolidated canal","az canal","Mesa Turnout","2014-07-07",NA,NA,6.4,0.035,0.546875,NA,NA,NA,NA,NA,NA,NA
"MTO","Mesa Turnout",NA,"Mesa Turnout","2014-07-07",NA,NA,5.5,0.046,0.836363636363636,NA,NA,NA,NA,NA,NA,NA
"NP IN","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","2014-07-07",NA,NA,6.8,0.064,0.941176470588235,NA,NA,NA,NA,NA,NA,NA
"NP OUT","Tempe's North Plant treated water","tempe","north plant outlet","2014-07-07",NA,NA,6.1,0.049,0.80327868852459,NA,NA,NA,NA,NA,NA,NA
"PIMA","AZ Canal at Pima Rd.","srp","az canal @ pima","2014-07-07",NA,NA,5.4,0.062,1.14814814814815,NA,NA,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2014-07-07",NA,NA,6.4,0.062,0.96875,NA,NA,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2014-07-07",NA,NA,6.4,0.062,0.96875,NA,NA,NA,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2014-07-07",NA,NA,6.1,0.047,0.770491803278689,NA,NA,NA,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2014-07-07",NA,NA,5.6,0.048,0.857142857142857,NA,NA,NA,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2014-07-07",NA,NA,6.9,0.054,0.782608695652174,NA,NA,NA,NA,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2014-07-07",NA,NA,5,0.032,0.64,NA,NA,NA,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","2014-07-07",NA,NA,4.9,0.066,1.3469387755102,NA,NA,NA,NA,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","2014-07-07",NA,NA,2.5,0.062,2.48,NA,NA,NA,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline","2014-07-07",NA,NA,6.9,0.087,1.26086956521739,NA,NA,NA,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline","2014-07-07",NA,NA,6.9,0.087,1.26086956521739,NA,NA,NA,NA,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2014-07-07",NA,NA,5.3,0.046,0.867924528301887,NA,NA,NA,NA,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2014-07-07",NA,NA,7.2,0.043,0.597222222222222,NA,NA,NA,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2014-07-07",NA,NA,7.3,0.047,0.643835616438356,NA,NA,NA,NA,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2014-07-07",NA,NA,7.7,0.072,0.935064935064935,NA,NA,NA,NA,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2014-07-07",NA,NA,8.3,0.086,1.03614457831325,NA,NA,NA,NA,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2014-07-07",NA,NA,8.7,0.076,0.873563218390805,NA,NA,NA,NA,NA,NA,NA
"R9A-DUP","Saguaro Lake near inlet","salt","saguaro-epi dup","2014-07-07",NA,NA,7.4,0.063,0.851351351351351,NA,NA,NA,NA,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2014-07-07",NA,NA,8,0.063,0.7875,NA,NA,NA,NA,NA,NA,NA
"SGPS","Salt Gila",NA,"Salt Gila","2014-07-07",NA,NA,5.6,0.048,0.857142857142857,NA,NA,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","2014-07-07",NA,NA,5.6,0.066,1.17857142857143,NA,NA,NA,NA,NA,NA,NA
"SPT IN","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","2014-07-07",NA,NA,4.5,0.023,0.511111111111111,NA,NA,NA,NA,NA,NA,NA
"SPT IN","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","2014-07-07",NA,NA,4.5,0.023,0.511111111111111,NA,NA,NA,NA,NA,NA,NA
"SPT OUT","Tempe's South Plant treated water","tempe","STP Out","2014-07-07",NA,NA,5.6,0.013,0.232142857142857,NA,NA,NA,NA,NA,NA,NA
"UH IN","Union Hills Inlet","cap","Union Hills Inlet","2014-07-07",NA,NA,5.8,0.045,0.775862068965517,NA,NA,NA,NA,NA,NA,NA
"UH IN","Union Hills Inlet","cap","Union Hills Inlet","2014-07-07",NA,NA,5.8,0.045,0.775862068965517,NA,NA,NA,NA,NA,NA,NA
"UH OUT","Union Hills Treated Water","cap","Union Hills Outlet","2014-07-07",NA,NA,3.1,0.028,0.903225806451613,NA,NA,NA,NA,NA,NA,NA
"AN IN","Anthem WTP inlet",NA,"anthem","2014-08-04",NA,NA,4.836,0.039,0.806451612903226,NA,NA,NA,NA,NA,NA,NA
"AN IN","Anthem WTP inlet",NA,"anthem","2014-08-04",NA,NA,4.836,0.039,0.806451612903226,NA,NA,NA,NA,NA,NA,NA
"AN OUT","Anthem WTP outlet",NA,"anthem","2014-08-04",NA,NA,6.483,0.038,0.586148388091933,NA,NA,NA,NA,NA,NA,NA
"CH IN","Chandler WTP inlet",NA,"chandler","2014-08-04",NA,NA,10.01,0.038,0.37962037962038,NA,NA,NA,NA,NA,NA,NA
"CH IN","Chandler WTP inlet",NA,"chandler","2014-08-04",NA,NA,10.01,0.038,0.37962037962038,NA,NA,NA,NA,NA,NA,NA
"CH OUT","Chandler WTP outlet",NA,"chandler","2014-08-04",NA,NA,9.271,0.028,0.302017042390249,NA,NA,NA,NA,NA,NA,NA
"GL IN","Glendale WTP Inlet",NA,"Glen In","2014-08-04",NA,NA,9.456,0.061,0.645093062605753,NA,NA,NA,NA,NA,NA,NA
"GL IN","Glendale WTP Inlet",NA,"Glen In","2014-08-04",NA,NA,0.9456,0.061,6.45093062605753,NA,NA,NA,NA,NA,NA,NA
"GL OUT","Glendale WTP Outlet",NA,"Glen Out","2014-08-04",NA,NA,8.089,0.02,0.247249350970454,NA,NA,NA,NA,NA,NA,NA
"GR IN","Greenway WTP Inlet","srp","Green In","2014-08-04",NA,NA,9.262,0.052,0.561433815590585,NA,NA,NA,NA,NA,NA,NA
"GR IN","Greenway WTP Inlet","srp","Green In","2014-08-04",NA,NA,9.262,0.052,0.561433815590585,NA,NA,NA,NA,NA,NA,NA
"GR OUT","Greenway WTP Outlet","srp","Green Out","2014-08-04",NA,NA,7.126,0.016,0.224529890541678,NA,NA,NA,NA,NA,NA,NA
"HAV","Havasu lake Sample",NA,"Havasu","2014-08-04",NA,NA,3.3,0.048,1.5,NA,NA,NA,NA,NA,NA,NA
"HOC","Head of the Consolidated Canal","az canal",NA,"2014-08-04",NA,NA,12.75,0.048,0.376470588235294,NA,NA,NA,NA,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal","2014-08-04",NA,NA,8.518,0.048,0.563512561634186,NA,NA,NA,NA,NA,NA,NA
"HWY 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","2014-08-04",NA,NA,9.603,0.06,0.624804748516089,NA,NA,NA,NA,NA,NA,NA
"MOC","Middle of the Consolidated canal","az canal","Mesa Turnout","2014-08-04",NA,NA,9.911,0.039,0.393502169306831,NA,NA,NA,NA,NA,NA,NA
"MTO","Mesa Turnout",NA,"Mesa Turnout","2014-08-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NP IN","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","2014-08-04",NA,NA,4.973,0.058,1.16629800924995,NA,NA,NA,NA,NA,NA,NA
"NP OUT","Tempe's North Plant treated water","tempe","north plant outlet","2014-08-04",NA,NA,8.456,0.025,0.295648060548723,NA,NA,NA,NA,NA,NA,NA
"PIMA","AZ Canal at Pima Rd.","srp","az canal @ pima","2014-08-04",NA,NA,9.273,0.058,0.625471799849024,NA,NA,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2014-08-04",NA,NA,12.73,0.059,0.463472113118617,NA,NA,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2014-08-04",NA,NA,11.27,0.059,0.523513753327418,NA,NA,NA,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2014-08-04",NA,NA,7.925,0.048,0.605678233438486,NA,NA,NA,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2014-08-04",NA,NA,11.6,0.058,0.5,NA,NA,NA,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2014-08-04",NA,NA,4.964,0.044,0.88638195004029,NA,NA,NA,NA,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2014-08-04",NA,NA,1.5,0.051,3.4,NA,NA,NA,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","2014-08-04",NA,NA,8.939,0.059,0.66002908602752,NA,NA,NA,NA,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","2014-08-04",NA,NA,9.527,0.059,0.619292537000105,NA,NA,NA,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline","2014-08-04",NA,NA,13.63,0.082,0.601614086573734,NA,NA,NA,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline","2014-08-04",NA,NA,13.6,0.082,0.602941176470588,NA,NA,NA,NA,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2014-08-04",NA,NA,3.4,0.046,1.4,NA,NA,NA,NA,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2014-08-04",NA,NA,3.7,0.044,1.2,NA,NA,NA,NA,NA,NA,NA
