site number,site location,Cluster,site acronym,date,sample type,conductance (uS/cm),chl A (ug/L),phaeophytin (ug/L),phaeophytin chl A (ug/L),chlorophyta (organisms/ml),cyanophyta (organisms/ml),bacillariophyta (organisms/ml),total (organisms/ml),algae comments
R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,4/10/2005,NA,530,NA,NA,NA,NA,NA,NA,NA,NA
R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,4/10/2005,NA,530,NA,NA,NA,NA,NA,NA,NA,NA
R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,4/10/2005,NA,528,NA,NA,NA,NA,NA,NA,NA,NA
R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,4/10/2005,NA,528,NA,NA,NA,NA,NA,NA,NA,NA
R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,4/10/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,4/10/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,4/10/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,4/10/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R9A,Saguaro Lake near inlet,salt,saguaro-epi,4/10/2005,NA,1359,NA,NA,NA,NA,NA,NA,NA,NA
R9A,Saguaro Lake near inlet,salt,saguaro-epi,4/10/2005,NA,1359,NA,NA,NA,NA,NA,NA,NA,NA
R9A-Dup,Saguaro Lake near inlet,NA,saguaro-epi dup,4/10/2005,NA,1357,NA,NA,NA,NA,NA,NA,NA,NA
R9A-Dup,Saguaro Lake near inlet,NA,saguaro-epi dup,4/10/2005,NA,1357,NA,NA,NA,NA,NA,NA,NA,NA
R9B,Saguaro Lake near inlet,salt,saguaro-hypo,4/10/2005,NA,528,NA,NA,NA,NA,NA,NA,NA,NA
R9B,Saguaro Lake near inlet,salt,saguaro-hypo,4/10/2005,NA,528,NA,NA,NA,NA,NA,NA,NA,NA
Roosvelt,SRP above Roosevelt Lake,NA,Above Roosevelt,4/10/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Roosvelt,SRP above Roosevelt Lake,NA,Above Roosevelt,4/10/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,4/10/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,4/10/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,4/10/2005,NA,1271,NA,NA,NA,NA,NA,NA,NA,NA
SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,4/10/2005,NA,1271,NA,NA,NA,NA,NA,NA,NA,NA
SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,4/10/2005,NA,1290,NA,NA,NA,NA,NA,NA,NA,NA
SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,4/10/2005,NA,1290,NA,NA,NA,NA,NA,NA,NA,NA
SPT Out,Tempe's South Plant treated water,tempe,STP Out,4/10/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPT Out,Tempe's South Plant treated water,tempe,STP Out,4/10/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UH In,Union Hills Inlet,cap,Union Hills Inlet,4/10/2005,NA,1007,NA,NA,NA,NA,NA,NA,NA,NA
UH In,Union Hills Inlet,cap,Union Hills Inlet,4/10/2005,NA,1007,NA,NA,NA,NA,NA,NA,NA,NA
UH Out,Union Hills Treated Water,cap,Union Hills Outlet,4/10/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UH Out,Union Hills Treated Water,cap,Union Hills Outlet,4/10/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Green In,Greenway WTP Inlet,srp,Green In,4/12/2005,NA,932,NA,NA,NA,NA,NA,NA,NA,NA
Green Out,Greenway WTP Outlet,srp,Green Out,4/12/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Havasu 1,Havasu lake Sample,NA,Havasu 1,4/12/2005,NA,1028,NA,NA,NA,NA,NA,NA,NA,NA
Havasu 2,Havasu lake Sample,NA,Havasu 2,4/12/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HTC,Head of the Tempe Canal,tempe,head of tempe canal,4/12/2005,NA,998,NA,NA,NA,NA,NA,NA,NA,NA
Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,4/12/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,4/12/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,4/12/2005,NA,945,NA,NA,NA,NA,NA,NA,NA,NA
NP Out,Tempe's North Plant treated water,tempe,north plant outlet,4/12/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,4/12/2005,NA,1019,NA,NA,NA,NA,NA,NA,NA,NA
R1,CAP canal above Waddell Canal,cap,cap-siphon,4/12/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,4/12/2005,NA,1354,NA,NA,NA,NA,NA,NA,NA,NA
R11,CAP Canal at Cross-connect,cap,cap @ x con,4/12/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,4/12/2005,NA,1048,NA,NA,NA,NA,NA,NA,NA,NA
R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,4/12/2005,NA,1045,NA,NA,NA,NA,NA,NA,NA,NA
R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,4/12/2005,NA,945,NA,NA,NA,NA,NA,NA,NA,NA
R15,Squaw Peak WTP treated water,srp,squaw peak-treated,4/12/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,4/12/2005,NA,986,NA,NA,NA,NA,NA,NA,NA,NA
R17,Deer Valley WTP treated water,srp,deer valley-treated,4/12/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R18,South Canal at Val Vista WTP,srp,s canal @ val vista,4/12/2005,NA,1069,NA,NA,NA,NA,NA,NA,NA,NA
R19,Val Vista WTP treated water,srp,val vista-treated,4/12/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R20,Verde River at Tangle,verde,verde abv horseshoe,4/12/2005,NA,452,NA,NA,NA,NA,NA,NA,NA,NA
R21,AZ Canal at Central Av.,srp,az canal @ central ave.,4/12/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,4/12/2005,NA,946,NA,NA,NA,NA,NA,NA,NA,NA
R25,verde river at beeline highway,verde,verde @ beeline,4/12/2005,NA,305,NA,NA,NA,NA,NA,NA,NA,NA
R2A,Lake Pleasant integrated sample,cap,pleasant-epi,4/12/2005,NA,688,NA,NA,NA,NA,NA,NA,NA,NA
R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,4/12/2005,NA,823,NA,NA,NA,NA,NA,NA,NA,NA
R3,Waddell Canal,cap,waddell canal,4/12/2005,NA,930,NA,NA,NA,NA,NA,NA,NA,NA
R4,Cap Canal at 7th St.,cap,cap @ 7th st,4/12/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,4/12/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,4/12/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,4/12/2005,NA,205,NA,NA,NA,NA,NA,NA,NA,NA
R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,4/12/2005,NA,201,NA,NA,NA,NA,NA,NA,NA,NA
R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,4/12/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,4/12/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R9A,Saguaro Lake near inlet,salt,saguaro-epi,4/12/2005,NA,1263,NA,NA,NA,NA,NA,NA,NA,NA
R9A-Dup,Saguaro Lake near inlet,NA,saguaro-epi dup,4/12/2005,NA,1261,NA,NA,NA,NA,NA,NA,NA,NA
R9B,Saguaro Lake near inlet,salt,saguaro-hypo,4/12/2005,NA,1289,NA,NA,NA,NA,NA,NA,NA,NA
Roosvelt,SRP above Roosevelt Lake,NA,Above Roosevelt,4/12/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,4/12/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,4/12/2005,NA,1088,NA,NA,NA,NA,NA,NA,NA,NA
SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,4/12/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPT Out,Tempe's South Plant treated water,tempe,STP Out,4/12/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UH In,Union Hills Inlet,cap,Union Hills Inlet,4/12/2005,NA,946,NA,NA,NA,NA,NA,NA,NA,NA
UH Out,Union Hills Treated Water,cap,Union Hills Outlet,4/12/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Green In,Greenway WTP Inlet,srp,Green In,5/14/2005,NA,1190,NA,NA,NA,NA,NA,NA,NA,NA
Green In,Greenway WTP Inlet,srp,Green In,5/14/2005,NA,1190,NA,NA,NA,NA,NA,NA,NA,NA
Green Out,Greenway WTP Outlet,srp,Green Out,5/14/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Green Out,Greenway WTP Outlet,srp,Green Out,5/14/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Havasu 1,Havasu lake Sample,NA,Havasu 1,5/14/2005,NA,972,NA,NA,NA,NA,NA,NA,NA,NA
Havasu 1,Havasu lake Sample,NA,Havasu 1,5/14/2005,NA,972,NA,NA,NA,NA,NA,NA,NA,NA
Havasu 2,Havasu lake Sample,NA,Havasu 2,5/14/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Havasu 2,Havasu lake Sample,NA,Havasu 2,5/14/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HTC,Head of the Tempe Canal,tempe,head of tempe canal,5/14/2005,NA,1213,NA,NA,NA,NA,NA,NA,NA,NA
HTC,Head of the Tempe Canal,tempe,head of tempe canal,5/14/2005,NA,1213,NA,NA,NA,NA,NA,NA,NA,NA
Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,5/14/2005,NA,1183,NA,NA,NA,NA,NA,NA,NA,NA
Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,5/14/2005,NA,1183,NA,NA,NA,NA,NA,NA,NA,NA
Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,5/14/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,5/14/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,5/14/2005,NA,1181,NA,NA,NA,NA,NA,NA,NA,NA
NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,5/14/2005,NA,1181,NA,NA,NA,NA,NA,NA,NA,NA
NP Out,Tempe's North Plant treated water,tempe,north plant outlet,5/14/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NP Out,Tempe's North Plant treated water,tempe,north plant outlet,5/14/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,5/14/2005,NA,1183,NA,NA,NA,NA,NA,NA,NA,NA
Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,5/14/2005,NA,1183,NA,NA,NA,NA,NA,NA,NA,NA
R1,CAP canal above Waddell Canal,cap,cap-siphon,5/14/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R1,CAP canal above Waddell Canal,cap,cap-siphon,5/14/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,5/14/2005,NA,1261,NA,NA,NA,NA,NA,NA,NA,NA
R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,5/14/2005,NA,1261,NA,NA,NA,NA,NA,NA,NA,NA
R11,CAP Canal at Cross-connect,cap,cap @ x con,5/14/2005,NA,1223,NA,NA,NA,NA,NA,NA,NA,NA
R11,CAP Canal at Cross-connect,cap,cap @ x con,5/14/2005,NA,1223,NA,NA,NA,NA,NA,NA,NA,NA
R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,5/14/2005,NA,985,NA,NA,NA,NA,NA,NA,NA,NA
R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,5/14/2005,NA,985,NA,NA,NA,NA,NA,NA,NA,NA
R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,5/14/2005,NA,1153,NA,NA,NA,NA,NA,NA,NA,NA
R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,5/14/2005,NA,1153,NA,NA,NA,NA,NA,NA,NA,NA
R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,5/14/2005,NA,1185,NA,NA,NA,NA,NA,NA,NA,NA
R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,5/14/2005,NA,1185,NA,NA,NA,NA,NA,NA,NA,NA
R15,Squaw Peak WTP treated water,srp,squaw peak-treated,5/14/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R15,Squaw Peak WTP treated water,srp,squaw peak-treated,5/14/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,5/14/2005,NA,1173,NA,NA,NA,NA,NA,NA,NA,NA
R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,5/14/2005,NA,1173,NA,NA,NA,NA,NA,NA,NA,NA
R17,Deer Valley WTP treated water,srp,deer valley-treated,5/14/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R17,Deer Valley WTP treated water,srp,deer valley-treated,5/14/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R18,South Canal at Val Vista WTP,srp,s canal @ val vista,5/14/2005,NA,1223,NA,NA,NA,NA,NA,NA,NA,NA
R18,South Canal at Val Vista WTP,srp,s canal @ val vista,5/14/2005,NA,1223,NA,NA,NA,NA,NA,NA,NA,NA
R19,Val Vista WTP treated water,srp,val vista-treated,5/14/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R19,Val Vista WTP treated water,srp,val vista-treated,5/14/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R20,Verde River at Tangle,verde,verde abv horseshoe,5/14/2005,NA,597,NA,NA,NA,NA,NA,NA,NA,NA
R20,Verde River at Tangle,verde,verde abv horseshoe,5/14/2005,NA,597,NA,NA,NA,NA,NA,NA,NA,NA
R21,AZ Canal at Central Av.,srp,az canal @ central ave.,5/14/2005,NA,1180,NA,NA,NA,NA,NA,NA,NA,NA
R21,AZ Canal at Central Av.,srp,az canal @ central ave.,5/14/2005,NA,1180,NA,NA,NA,NA,NA,NA,NA,NA
R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,5/14/2005,NA,1182,NA,NA,NA,NA,NA,NA,NA,NA
R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,5/14/2005,NA,1182,NA,NA,NA,NA,NA,NA,NA,NA
R25,verde river at beeline highway,verde,verde @ beeline,5/14/2005,NA,505,NA,NA,NA,NA,NA,NA,NA,NA
R25,verde river at beeline highway,verde,verde @ beeline,5/14/2005,NA,505,NA,NA,NA,NA,NA,NA,NA,NA
R2A,Lake Pleasant integrated sample,cap,pleasant-epi,5/14/2005,NA,837,NA,NA,NA,NA,NA,NA,NA,NA
R2A,Lake Pleasant integrated sample,cap,pleasant-epi,5/14/2005,NA,837,NA,NA,NA,NA,NA,NA,NA,NA
R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,5/14/2005,NA,836,NA,NA,NA,NA,NA,NA,NA,NA
R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,5/14/2005,NA,836,NA,NA,NA,NA,NA,NA,NA,NA
R3,Waddell Canal,cap,waddell canal,5/14/2005,NA,959,NA,NA,NA,NA,NA,NA,NA,NA
R3,Waddell Canal,cap,waddell canal,5/14/2005,NA,959,NA,NA,NA,NA,NA,NA,NA,NA
R4,Cap Canal at 7th St.,cap,cap @ 7th st,5/14/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R4,Cap Canal at 7th St.,cap,cap @ 7th st,5/14/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,5/14/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,5/14/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,5/14/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,5/14/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,5/14/2005,NA,498,NA,NA,NA,NA,NA,NA,NA,NA
R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,5/14/2005,NA,498,NA,NA,NA,NA,NA,NA,NA,NA
R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,5/14/2005,NA,514,NA,NA,NA,NA,NA,NA,NA,NA
R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,5/14/2005,NA,514,NA,NA,NA,NA,NA,NA,NA,NA
R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,5/14/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,5/14/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,5/14/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,5/14/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R9A,Saguaro Lake near inlet,salt,saguaro-epi,5/14/2005,NA,1266,NA,NA,NA,NA,NA,NA,NA,NA
R9A,Saguaro Lake near inlet,salt,saguaro-epi,5/14/2005,NA,1266,NA,NA,NA,NA,NA,NA,NA,NA
R9A-Dup,Saguaro Lake near inlet,NA,saguaro-epi dup,5/14/2005,NA,1270,NA,NA,NA,NA,NA,NA,NA,NA
R9A-Dup,Saguaro Lake near inlet,NA,saguaro-epi dup,5/14/2005,NA,1270,NA,NA,NA,NA,NA,NA,NA,NA
R9B,Saguaro Lake near inlet,salt,saguaro-hypo,5/14/2005,NA,1290,NA,NA,NA,NA,NA,NA,NA,NA
R9B,Saguaro Lake near inlet,salt,saguaro-hypo,5/14/2005,NA,1290,NA,NA,NA,NA,NA,NA,NA,NA
Roosvelt,SRP above Roosevelt Lake,NA,Above Roosevelt,5/14/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Roosvelt,SRP above Roosevelt Lake,NA,Above Roosevelt,5/14/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,5/14/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,5/14/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,5/14/2005,NA,972,NA,NA,NA,NA,NA,NA,NA,NA
SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,5/14/2005,NA,972,NA,NA,NA,NA,NA,NA,NA,NA
SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,5/14/2005,NA,1223,NA,NA,NA,NA,NA,NA,NA,NA
SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,5/14/2005,NA,1223,NA,NA,NA,NA,NA,NA,NA,NA
SPT Out,Tempe's South Plant treated water,tempe,STP Out,5/14/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPT Out,Tempe's South Plant treated water,tempe,STP Out,5/14/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UH In,Union Hills Inlet,cap,Union Hills Inlet,5/14/2005,NA,970,NA,NA,NA,NA,NA,NA,NA,NA
UH In,Union Hills Inlet,cap,Union Hills Inlet,5/14/2005,NA,970,NA,NA,NA,NA,NA,NA,NA,NA
UH Out,Union Hills Treated Water,cap,Union Hills Outlet,5/14/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UH Out,Union Hills Treated Water,cap,Union Hills Outlet,5/14/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Green In,Greenway WTP Inlet,srp,Green In,5/17/2005,NA,885,NA,NA,NA,NA,NA,NA,NA,NA
Green Out,Greenway WTP Outlet,srp,Green Out,5/17/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Havasu 1,Havasu lake Sample,NA,Havasu 1,5/17/2005,NA,1007,NA,NA,NA,NA,NA,NA,NA,NA
Havasu 2,Havasu lake Sample,NA,Havasu 2,5/17/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HTC,Head of the Tempe Canal,tempe,head of tempe canal,5/17/2005,NA,873,NA,NA,NA,NA,NA,NA,NA,NA
Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,5/17/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,5/17/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,5/17/2005,NA,870,NA,NA,NA,NA,NA,NA,NA,NA
NP Out,Tempe's North Plant treated water,tempe,north plant outlet,5/17/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,5/17/2005,NA,835,NA,NA,NA,NA,NA,NA,NA,NA
R1,CAP canal above Waddell Canal,cap,cap-siphon,5/17/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,5/17/2005,NA,1482,NA,NA,NA,NA,NA,NA,NA,NA
R11,CAP Canal at Cross-connect,cap,cap @ x con,5/17/2005,NA,1025,NA,NA,NA,NA,NA,NA,NA,NA
R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,5/17/2005,NA,826,NA,NA,NA,NA,NA,NA,NA,NA
R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,5/17/2005,NA,864,NA,NA,NA,NA,NA,NA,NA,NA
R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,5/17/2005,NA,872,NA,NA,NA,NA,NA,NA,NA,NA
R15,Squaw Peak WTP treated water,srp,squaw peak-treated,5/17/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,5/17/2005,NA,869,NA,NA,NA,NA,NA,NA,NA,NA
R17,Deer Valley WTP treated water,srp,deer valley-treated,5/17/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R18,South Canal at Val Vista WTP,srp,s canal @ val vista,5/17/2005,NA,863,NA,NA,NA,NA,NA,NA,NA,NA
R19,Val Vista WTP treated water,srp,val vista-treated,5/17/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R20,Verde River at Tangle,verde,verde abv horseshoe,5/17/2005,NA,665,NA,NA,NA,NA,NA,NA,NA,NA
R21,AZ Canal at Central Av.,srp,az canal @ central ave.,5/17/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,5/17/2005,NA,862,NA,NA,NA,NA,NA,NA,NA,NA
R25,verde river at beeline highway,verde,verde @ beeline,5/17/2005,NA,257,NA,NA,NA,NA,NA,NA,NA,NA
R2A,Lake Pleasant integrated sample,cap,pleasant-epi,5/17/2005,NA,730,NA,NA,NA,NA,NA,NA,NA,NA
R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,5/17/2005,NA,818,NA,NA,NA,NA,NA,NA,NA,NA
R3,Waddell Canal,cap,waddell canal,5/17/2005,NA,1022,NA,NA,NA,NA,NA,NA,NA,NA
R4,Cap Canal at 7th St.,cap,cap @ 7th st,5/17/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,5/17/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,5/17/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,5/17/2005,NA,216,NA,NA,NA,NA,NA,NA,NA,NA
R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,5/17/2005,NA,234,NA,NA,NA,NA,NA,NA,NA,NA
R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,5/17/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,5/17/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R9A,Saguaro Lake near inlet,salt,saguaro-epi,5/17/2005,NA,1310,NA,NA,NA,NA,NA,NA,NA,NA
R9A-Dup,Saguaro Lake near inlet,NA,saguaro-epi dup,5/17/2005,NA,1309,NA,NA,NA,NA,NA,NA,NA,NA
R9B,Saguaro Lake near inlet,salt,saguaro-hypo,5/17/2005,NA,1416,NA,NA,NA,NA,NA,NA,NA,NA
Roosvelt,SRP above Roosevelt Lake,NA,Above Roosevelt,5/17/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,5/17/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,5/17/2005,NA,863,NA,NA,NA,NA,NA,NA,NA,NA
SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,5/17/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPT Out,Tempe's South Plant treated water,tempe,STP Out,5/17/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
